pidlink,kw03,kw04
012040004,,
012040005,1.0,3:Self
012044102,,
012044302,1.0,
012050002,,
012050003,1.0,3:Self
012060002,,
012060006,1.0,3:Self
012065102,1.0,3:Self
012070002,1.0,
012070003,,
012070004,,
012090002,2.0,4:Family
012090004,1.0,3:Self
012095102,1.0,3:Self
012110002,,
012120002,1.0,
012120003,,
012125102,1.0,3:Self
012130006,1.0,3:Self
012135102,2.0,3:Self
012140004,,
012140006,,
012140011,1.0,3:Self
012140012,1.0,3:Self
012143302,,
012145102,1.0,3:Self
012160007,1.0,3:Self
012160014,1.0,3:Self
012165202,1.0,3:Self
012165302,1.0,3:Self
012170002,,
012170005,1.0,3:Self
012180006,,
012180008,1.0,3:Self
012190002,,
012190004,,
012190008,1.0,3:Self
012193107,2.0,3:Self
012195102,1.0,3:Self
013010004,1.0,3:Self
013010005,1.0,3:Self
013010006,2.0,3:Self
013020002,,
013020005,1.0,3:Self
013020006,1.0,3:Self
013024102,,
013040002,,
013050002,1.0,
013050004,,
013050006,,
013053102,,
013060002,,
013060003,1.0,3:Self
013070004,2.0,3:Self
013075102,1.0,3:Self
013080002,,
013080004,,
013080008,1.0,3:Self
013090002,,
013094102,2.0,3:Self
013095102,1.0,3:Self
013100002,,
013100004,2.0,3:Self
013100005,1.0,3:Self
013105102,1.0,3:Self
013110008,1.0,3:Self
013120003,1.0,3:Self
013120004,1.0,3:Self
013120008,2.0,3:Self
013130002,1.0,
013130006,1.0,3:Self
013140002,1.0,
013140006,2.0,95:Other
013144202,,
013145102,2.0,3:Self
013145302,1.0,3:Self
013150002,,
013150003,1.0,3:Self
013160002,,
013160004,,
013165102,1.0,3:Self
013170002,,
013170006,1.0,3:Self
013194102,,
013195102,1.0,3:Self
014030009,,
014040003,1.0,3:Self
014100006,1.0,3:Self
014100007,1.0,3:Self
014100009,1.0,3:Self
014105102,1.0,3:Self
014110006,,
014130007,1.0,3:Self
014135102,1.0,3:Self
014140004,1.0,
014144102,,
014144202,,
014145102,1.0,3:Self
014180002,,
014180003,1.0,3:Self
014180006,,
015040004,,
015040007,1.0,3:Self
015043202,,
015050003,1.0,3:Self
015050005,,
015060002,1.0,3:Self
015070002,,
015070009,,
015080004,,
015080005,,
015080006,1.0,3:Self
015080015,,
015090002,,
015100005,2.0,3:Self
015104102,,
015110002,1.0,
015110003,,
015140002,1.0,
015150002,,
015150004,1.0,3:Self
015160003,1.0,3:Self
015164102,,
015170006,,
015180002,,
015190002,,
015190003,1.0,
015200005,,
015201102,,
016010002,2.0,3:Self
016020002,,
016020010,1.0,3:Self
016040006,1.0,4:Family
016050017,2.0,3:Self
016074102,1.0,3:Self
016120013,1.0,3:Self
016130011,1.0,3:Self
016130014,,
016132102,,
016132207,,
016135102,1.0,3:Self
016150004,1.0,
016160003,,
016160006,1.0,3:Self
016170003,,
016190008,,
016410005,1.0,3:Self
017040007,,
017043202,,
017050002,,
017050004,1.0,3:Self
017064102,,
017070005,1.0,3:Self
017070007,1.0,3:Self
017080007,,
017084102,,
017084204,,
017084302,,
017090002,1.0,3:Self
017090003,,
017090004,1.0,3:Self
017090005,1.0,3:Self
017100003,1.0,
017100009,1.0,3:Self
017120002,,
017120003,,
017120007,1.0,3:Self
017124202,1.0,3:Self
017125102,1.0,1:Parent
017130007,,
017132108,1.0,3:Self
017134102,,
017134202,,
017134302,,
017160005,,
017160006,1.0,3:Self
017160012,1.0,3:Self
017160013,1.0,3:Self
017164102,,
017164202,,
017165202,1.0,3:Self
017170003,1.0,
017170005,1.0,3:Self
017170008,1.0,3:Self
017170009,,
017174202,,
017180003,1.0,3:Self
017180004,,
017180006,1.0,3:Self
017180007,,
017190003,,
017190004,,
017194302,,
017200002,,
017200004,1.0,3:Self
017205102,1.0,3:Self
018020004,1.0,3:Self
018020007,1.0,3:Self
018020008,1.0,3:Self
018020010,1.0,3:Self
018030002,,
018030003,,
018030004,1.0,3:Self
018030005,1.0,3:Self
018040006,1.0,3:Self
018043102,,
018053104,,
018060002,1.0,3:Self
018060004,1.0,3:Self
018060005,,
018070001,,
018080002,,
