pidlink,sex,age,age_squared,education,urban,monthly_income,log_income,marstat,ever_married,is_divorced,is_jawa,is_sunda,pwt14xa
042235101,Male,29.0,841.0,12.0,0,500000.0,13.122365377402328,Married,1,0,0,0,0.7004172205924988
042250001,Male,49.0,2401.0,6.0,0,500000.0,13.122365377402328,Married,1,0,1,0,1.2785468101501465
042263103,Male,46.0,2116.0,9.0,0,300000.0,12.611541086966115,Married,1,0,1,0,2.6906795501708984
042264202,Male,33.0,1089.0,9.0,1,1500000.0,14.220976332738882,Married,1,0,1,0,1.0917372703552246
042280005,Female,24.0,576.0,15.0,1,1500000.0,14.220976332738882,Never Married,0,0,0,0,1.0781382322311401
042290003,Male,45.0,2025.0,6.0,1,1000000.0,13.815511557963774,Married,1,0,1,0,1.001433253288269
042290004,Female,41.0,1681.0,6.0,1,1000000.0,13.815511557963774,Married,1,0,1,0,1.0439298152923584
042290005,Male,24.0,576.0,6.0,1,1200000.0,13.997832948091215,Never Married,0,0,0,0,0.9335048794746399
042300004,Male,22.0,484.0,12.0,1,30000.0,10.308985993422082,Never Married,0,0,1,0,2.1594009399414062
042300007,Male,32.0,1024.0,9.0,0,0.0,0.0,Married,1,0,1,0,0.7710112929344177
043020006,Male,22.0,484.0,6.0,0,500000.0,13.122365377402328,Married,1,0,0,0,1.2518891096115112
043030001,Male,67.0,4489.0,6.0,0,0.0,0.0,Married,1,0,0,0,0.8717489838600159
043040001,Male,56.0,3136.0,6.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,1.3231120109558105
043060001,Male,67.0,4489.0,6.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.8717489838600159
043060004,Male,31.0,961.0,6.0,0,1500000.0,14.220976332738882,Never Married,0,0,0,0,0.7710112929344177
043060008,Male,34.0,1156.0,6.0,0,1000000.0,13.815511557963774,Married,1,0,0,0,0.7710112929344177
043113103,Male,43.0,1849.0,6.0,0,400000.0,12.899222326086994,Married,1,0,0,0,1.2785468101501465
043150013,Male,52.0,2704.0,6.0,0,7500000.0,15.830413711839864,Married,1,0,0,0,1.3231120109558105
043161104,Female,54.0,2916.0,6.0,0,600000.0,13.304686600863562,Widowed,1,0,0,0,1.2290230989456177
043165103,Male,30.0,900.0,6.0,0,2400000.0,14.690979711984754,Married,1,0,0,0,0.7710112929344177
043170005,Female,23.0,529.0,6.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,0.5721980929374695
