pidlink,marstat,age,sex,ever_married,male
003150002,2:Married,37.0,3:Female,1,0
003150003,2:Married,28.0,3:Female,1,0
003153101,2:Married,40.0,1:Male,1,1
003153103,1:Not yet married,16.0,3:Female,0,0
003155101,2:Married,35.0,1:Male,1,1
003170001,5:Widowed,60.0,3:Female,1,0
003170002,3:Separated,42.0,3:Female,1,0
003170003,2:Married,39.0,1:Male,1,1
003170004,2:Married,38.0,1:Male,1,1
003170005,2:Married,38.0,3:Female,1,0
003170006,2:Married,19.0,3:Female,1,0
003173104,1:Not yet married,16.0,1:Male,0,1
003174102,2:Married,36.0,3:Female,1,0
003175201,2:Married,23.0,1:Male,1,1
003180002,5:Widowed,61.0,3:Female,1,0
003180003,2:Married,32.0,3:Female,1,0
003180004,2:Married,30.0,1:Male,1,1
003180005,2:Married,29.0,3:Female,1,0
003180006,2:Married,28.0,3:Female,1,0
003180007,1:Not yet married,23.0,1:Male,0,1
003183104,2:Married,28.0,3:Female,1,0
003184101,2:Married,38.0,1:Male,1,1
003184202,2:Married,33.0,1:Male,1,1
003185101,2:Married,29.0,1:Male,1,1
003190001,2:Married,62.0,1:Male,1,1
003190002,2:Married,58.0,3:Female,1,0
003190003,2:Married,36.0,1:Male,1,1
003190004,2:Married,35.0,3:Female,1,0
003190005,2:Married,32.0,1:Male,1,1
003191101,2:Married,42.0,1:Male,1,1
003193102,2:Married,45.0,3:Female,1,0
003194102,2:Married,30.0,3:Female,1,0
003200003,2:Married,43.0,3:Female,1,0
003200004,2:Married,35.0,1:Male,1,1
003200005,4:Divorced,56.0,1:Male,1,1
003200007,1:Not yet married,26.0,3:Female,0,0
003200010,1:Not yet married,17.0,1:Male,0,1
003203103,1:Not yet married,17.0,3:Female,0,0
003203104,1:Not yet married,17.0,1:Male,0,1
003203105,2:Married,44.0,1:Male,1,1
003205102,2:Married,34.0,3:Female,1,0
003240002,2:Married,49.0,1:Male,1,1
003240003,2:Married,43.0,3:Female,1,0
003240005,2:Married,33.0,3:Female,1,0
003240006,2:Married,40.0,3:Female,1,0
003240007,2:Married,47.0,1:Male,1,1
003240008,2:Married,42.0,3:Female,1,0
003240009,4:Divorced,24.0,1:Male,1,1
003240010,1:Not yet married,22.0,3:Female,0,0
003240011,1:Not yet married,19.0,1:Male,0,1
003243103,1:Not yet married,16.0,3:Female,0,0
003243205,1:Not yet married,19.0,1:Male,0,1
003243206,2:Married,17.0,3:Female,1,0
003243207,2:Married,39.0,1:Male,1,1
003244101,2:Married,39.0,1:Male,1,1
003245401,2:Married,21.0,1:Male,1,1
003250001,5:Widowed,87.0,3:Female,1,0
003250004,2:Married,46.0,1:Male,1,1
003250005,2:Married,41.0,3:Female,1,0
003250007,1:Not yet married,21.0,3:Female,0,0
003250009,1:Not yet married,16.0,3:Female,0,0
003260001,2:Married,59.0,1:Male,1,1
003260003,2:Married,31.0,1:Male,1,1
003260004,2:Married,29.0,1:Male,1,1
003260005,2:Married,26.0,3:Female,1,0
003260006,1:Not yet married,25.0,1:Male,0,1
003260008,1:Not yet married,18.0,3:Female,0,0
003260009,2:Married,51.0,3:Female,1,0
003264102,2:Married,29.0,3:Female,1,0
003265102,2:Married,28.0,3:Female,1,0
003265202,2:Married,27.0,1:Male,1,1
003270001,2:Married,56.0,1:Male,1,1
003270002,2:Married,55.0,3:Female,1,0
003270003,2:Married,21.0,1:Male,1,1
003270004,1:Not yet married,18.0,1:Male,0,1
003270006,2:Married,22.0,3:Female,1,0
003280001,2:Married,54.0,1:Male,1,1
003280002,2:Married,48.0,3:Female,1,0
003280003,1:Not yet married,27.0,1:Male,0,1
003280005,1:Not yet married,24.0,1:Male,0,1
003290001,2:Married,51.0,1:Male,1,1
003290002,2:Married,47.0,3:Female,1,0
003290003,2:Married,27.0,1:Male,1,1
003290005,1:Not yet married,21.0,1:Male,0,1
003290006,1:Not yet married,17.0,3:Female,0,0
003294106,2:Married,25.0,3:Female,1,0
003300003,5:Widowed,57.0,3:Female,1,0
004010002,5:Widowed,47.0,3:Female,1,0
004010003,1:Not yet married,25.0,1:Male,0,1
004010005,1:Not yet married,19.0,1:Male,0,1
004020002,5:Widowed,46.0,3:Female,1,0
004020005,2:Married,27.0,1:Male,1,1
004020007,1:Not yet married,24.0,3:Female,0,0
004020008,2:Married,22.0,3:Female,1,0
004020009,1:Not yet married,21.0,1:Male,0,1
004024104,2:Married,28.0,3:Female,1,0
004025201,2:Married,33.0,1:Male,1,1
004030001,2:Married,62.0,1:Male,1,1
004030003,2:Married,41.0,3:Female,1,0
004030008,2:Married,24.0,1:Male,1,1
004030009,2:Married,44.0,1:Male,1,1
004030010,1:Not yet married,20.0,1:Male,0,1
004030011,1:Not yet married,18.0,1:Male,0,1
004032109,2:Married,23.0,3:Female,1,0
004035102,2:Married,51.0,3:Female,1,0
004035103,1:Not yet married,17.0,1:Male,0,1
004040002,5:Widowed,57.0,3:Female,1,0
004040003,2:Married,33.0,1:Male,1,1
004040006,2:Married,27.0,3:Female,1,0
004040008,1:Not yet married,21.0,1:Male,0,1
004040011,2:Married,35.0,3:Female,1,0
004045102,2:Married,29.0,1:Male,1,1
004050001,2:Married,50.0,1:Male,1,1
004050002,2:Married,45.0,3:Female,1,0
004050003,2:Married,21.0,3:Female,1,0
004050004,1:Not yet married,19.0,3:Female,0,0
004050005,1:Not yet married,18.0,3:Female,0,0
004050006,1:Not yet married,17.0,1:Male,0,1
004055102,2:Married,28.0,1:Male,1,1
004060001,2:Married,66.0,1:Male,1,1
004060002,2:Married,64.0,3:Female,1,0
004060003,2:Married,34.0,1:Male,1,1
004060004,2:Married,31.0,1:Male,1,1
004060005,2:Married,29.0,1:Male,1,1
004060007,1:Not yet married,69.0,1:Male,0,1
004065102,2:Married,29.0,3:Female,1,0
004065202,2:Married,36.0,3:Female,1,0
004065302,2:Married,35.0,3:Female,1,0
004070002,2:Married,49.0,3:Female,1,0
004070005,1:Not yet married,39.0,3:Female,0,0
004070007,2:Married,34.0,1:Male,1,1
004070008,2:Married,28.0,3:Female,1,0
004070009,2:Married,27.0,3:Female,1,0
004070012,2:Married,23.0,3:Female,1,0
004073101,2:Married,52.0,1:Male,1,1
004090003,1:Not yet married,41.0,3:Female,0,0
004090007,2:Married,41.0,1:Male,1,1
004090008,2:Married,42.0,3:Female,1,0
004100001,5:Widowed,64.0,3:Female,1,0
004100002,2:Married,43.0,1:Male,1,1
004100003,2:Married,37.0,3:Female,1,0
004100004,2:Married,35.0,1:Male,1,1
004100005,2:Married,33.0,1:Male,1,1
004100006,2:Married,30.0,1:Male,1,1
004100008,2:Married,28.0,3:Female,1,0
004100009,1:Not yet married,24.0,1:Male,0,1
004100010,1:Not yet married,18.0,3:Female,0,0
004102101,2:Married,41.0,1:Male,1,1
004102104,1:Not yet married,16.0,3:Female,0,0
004103102,2:Married,41.0,3:Female,1,0
004103103,1:Not yet married,17.0,1:Male,0,1
004103104,1:Not yet married,15.0,1:Male,0,1
004104102,2:Married,32.0,3:Female,1,0
004104202,2:Married,31.0,3:Female,1,0
004105102,2:Married,25.0,3:Female,1,0
004105202,2:Married,37.0,1:Male,1,1
004110003,2:Married,35.0,1:Male,1,1
004111103,2:Married,32.0,3:Female,1,0
004130001,2:Married,76.0,1:Male,1,1
004130002,2:Married,75.0,3:Female,1,0
004130003,2:Married,33.0,1:Male,1,1
004130004,3:Separated,31.0,1:Male,1,1
004130005,2:Married,36.0,3:Female,1,0
004130006,1:Not yet married,17.0,3:Female,0,0
004130007,1:Not yet married,15.0,1:Male,0,1
004132102,2:Married,32.0,3:Female,1,0
004134101,2:Married,50.0,1:Male,1,1
004140001,2:Married,61.0,1:Male,1,1
004140002,2:Married,61.0,3:Female,1,0
004140004,2:Married,33.0,1:Male,1,1
004140005,2:Married,30.0,1:Male,1,1
004140006,2:Married,27.0,1:Male,1,1
004140007,1:Not yet married,24.0,3:Female,0,0
004140011,2:Married,23.0,3:Female,1,0
004144102,2:Married,33.0,3:Female,1,0
004150003,2:Married,46.0,1:Male,1,1
004150004,2:Married,47.0,3:Female,1,0
004150005,1:Not yet married,20.0,3:Female,0,0
004150007,1:Not yet married,16.0,3:Female,0,0
004160001,2:Married,48.0,1:Male,1,1
004160002,2:Married,50.0,3:Female,1,0
004160003,1:Not yet married,26.0,1:Male,0,1
004160004,1:Not yet married,25.0,3:Female,0,0
004160005,1:Not yet married,21.0,1:Male,0,1
004170004,2:Married,73.0,1:Male,1,1
004170005,2:Married,63.0,3:Female,1,0
004170006,1:Not yet married,40.0,1:Male,0,1
004170007,1:Not yet married,26.0,3:Female,0,0
004180001,5:Widowed,51.0,1:Male,1,1
004190002,5:Widowed,59.0,3:Female,1,0
004190003,2:Married,29.0,1:Male,1,1
004194102,2:Married,27.0,3:Female,1,0
004200001,2:Married,48.0,1:Male,1,1
004200002,2:Married,45.0,3:Female,1,0
004200003,1:Not yet married,22.0,3:Female,0,0
004200004,1:Not yet married,22.0,1:Male,0,1
004220001,5:Widowed,66.0,1:Male,1,1
004220003,2:Married,36.0,1:Male,1,1
004220004,1:Not yet married,33.0,3:Female,0,0
004220006,2:Married,28.0,3:Female,1,0
004225102,2:Married,35.0,3:Female,1,0
004230001,2:Married,68.0,1:Male,1,1
004230002,2:Married,69.0,3:Female,1,0
004230003,2:Married,32.0,3:Female,1,0
004232102,2:Married,36.0,1:Male,1,1
004240001,2:Married,64.0,1:Male,1,1
004240002,2:Married,63.0,3:Female,1,0
004240004,2:Married,34.0,3:Female,1,0
004240006,1:Not yet married,28.0,1:Male,0,1
004242202,2:Married,37.0,1:Male,1,1
004250001,5:Widowed,74.0,1:Male,1,1
004250003,2:Married,40.0,1:Male,1,1
004253102,2:Married,40.0,3:Female,1,0
004260002,5:Widowed,56.0,3:Female,1,0
004260005,2:Married,35.0,1:Male,1,1
004260006,2:Married,32.0,1:Male,1,1
004260008,1:Not yet married,20.0,1:Male,0,1
004260015,2:Married,24.0,3:Female,1,0
004264202,2:Married,32.0,3:Female,1,0
004270001,2:Married,44.0,1:Male,1,1
004270004,1:Not yet married,22.0,1:Male,0,1
004270006,1:Not yet married,18.0,1:Male,0,1
004274103,1:Not yet married,16.0,1:Male,0,1
004274105,2:Married,37.0,3:Female,1,0
004280001,5:Widowed,80.0,1:Male,1,1
004280004,1:Not yet married,33.0,3:Female,0,0
004280007,1:Not yet married,15.0,3:Female,0,0
004290001,2:Married,64.0,1:Male,1,1
004290002,2:Married,60.0,3:Female,1,0
004290004,1:Not yet married,32.0,3:Female,0,0
004290005,2:Married,30.0,1:Male,1,1
004295102,2:Married,22.0,3:Female,1,0
004300005,2:Married,40.0,3:Female,1,0
004302201,2:Married,52.0,1:Male,1,1
004302205,1:Not yet married,15.0,3:Female,0,0
005010002,5:Widowed,87.0,3:Female,1,0
005010003,2:Married,48.0,1:Male,1,1
005010004,2:Married,57.0,3:Female,1,0
005010005,2:Married,54.0,1:Male,1,1
005013102,2:Married,41.0,3:Female,1,0
005030001,4:Divorced,51.0,3:Female,1,0
005030002,2:Married,29.0,3:Female,1,0
005030003,1:Not yet married,17.0,1:Male,0,1
005030006,1:Not yet married,15.0,3:Female,0,0
005034101,2:Married,34.0,1:Male,1,1
005040004,2:Married,32.0,1:Male,1,1
005040005,2:Married,30.0,1:Male,1,1
005043103,4:Divorced,36.0,3:Female,1,0
005044107,2:Married,23.0,3:Female,1,0
005044202,2:Married,28.0,3:Female,1,0
005050001,2:Married,57.0,1:Male,1,1
005050002,2:Married,56.0,3:Female,1,0
005050003,1:Not yet married,16.0,1:Male,0,1
005060001,2:Married,56.0,1:Male,1,1
005060002,2:Married,49.0,3:Female,1,0
005060003,2:Married,33.0,1:Male,1,1
005060004,2:Married,29.0,3:Female,1,0
