pidlink,marstat,age,sex
004050001,2:Married,50.0,1:Male
004050002,2:Married,45.0,3:Female
004050003,2:Married,21.0,3:Female
004055102,2:Married,28.0,1:Male
004060001,2:Married,66.0,1:Male
004060002,2:Married,64.0,3:Female
004060003,2:Married,34.0,1:Male
004060004,2:Married,31.0,1:Male
004060005,2:Married,29.0,1:Male
004065102,2:Married,29.0,3:Female
004065202,2:Married,36.0,3:Female
004065302,2:Married,35.0,3:Female
004070002,2:Married,49.0,3:Female
004070007,2:Married,34.0,1:Male
004070008,2:Married,28.0,3:Female
004070009,2:Married,27.0,3:Female
004070012,2:Married,23.0,3:Female
004073101,2:Married,52.0,1:Male
004090007,2:Married,41.0,1:Male
004090008,2:Married,42.0,3:Female
004100001,5:Widowed,64.0,3:Female
004100002,2:Married,43.0,1:Male
004100003,2:Married,37.0,3:Female
004100004,2:Married,35.0,1:Male
004100005,2:Married,33.0,1:Male
004100006,2:Married,30.0,1:Male
004100008,2:Married,28.0,3:Female
004102101,2:Married,41.0,1:Male
004103102,2:Married,41.0,3:Female
004104102,2:Married,32.0,3:Female
004104202,2:Married,31.0,3:Female
004105102,2:Married,25.0,3:Female
004105202,2:Married,37.0,1:Male
004110003,2:Married,35.0,1:Male
004111103,2:Married,32.0,3:Female
004130001,2:Married,76.0,1:Male
004130002,2:Married,75.0,3:Female
004130003,2:Married,33.0,1:Male
004130004,3:Separated,31.0,1:Male
004130005,2:Married,36.0,3:Female
004132102,2:Married,32.0,3:Female
004134101,2:Married,50.0,1:Male
004140001,2:Married,61.0,1:Male
004140002,2:Married,61.0,3:Female
004140004,2:Married,33.0,1:Male
004140005,2:Married,30.0,1:Male
004140006,2:Married,27.0,1:Male
004140011,2:Married,23.0,3:Female
004144102,2:Married,33.0,3:Female
004150003,2:Married,46.0,1:Male
004150004,2:Married,47.0,3:Female
004160001,2:Married,48.0,1:Male
004160002,2:Married,50.0,3:Female
004170004,2:Married,73.0,1:Male
004170005,2:Married,63.0,3:Female
004180001,5:Widowed,51.0,1:Male
004190002,5:Widowed,59.0,3:Female
004190003,2:Married,29.0,1:Male
004194102,2:Married,27.0,3:Female
004200001,2:Married,48.0,1:Male
004200002,2:Married,45.0,3:Female
004220001,5:Widowed,66.0,1:Male
004220003,2:Married,36.0,1:Male
004220006,2:Married,28.0,3:Female
004225102,2:Married,35.0,3:Female
004230001,2:Married,68.0,1:Male
004230002,2:Married,69.0,3:Female
004230003,2:Married,32.0,3:Female
004232102,2:Married,36.0,1:Male
004240001,2:Married,64.0,1:Male
004240002,2:Married,63.0,3:Female
004240004,2:Married,34.0,3:Female
004242202,2:Married,37.0,1:Male
004250001,5:Widowed,74.0,1:Male
004250003,2:Married,40.0,1:Male
004253102,2:Married,40.0,3:Female
004260002,5:Widowed,56.0,3:Female
004260005,2:Married,35.0,1:Male
004260006,2:Married,32.0,1:Male
004260015,2:Married,24.0,3:Female
004264202,2:Married,32.0,3:Female
004270001,2:Married,44.0,1:Male
004274105,2:Married,37.0,3:Female
004280001,5:Widowed,80.0,1:Male
004290001,2:Married,64.0,1:Male
004290002,2:Married,60.0,3:Female
004290005,2:Married,30.0,1:Male
004295102,2:Married,22.0,3:Female
004300005,2:Married,40.0,3:Female
004302201,2:Married,52.0,1:Male
005010002,5:Widowed,87.0,3:Female
